Country,Address,Nominatim_Score
United Kingdom,"University Library, Keyworth Street, Elephant and Castle, London Borough of Southwark, Greater London, England, SE1 6NJ, United Kingdom",1.0
United Kingdom,"University Library, West Road, Newnham, Cambridge, Cambridgeshire, Cambridgeshire and Peterborough, England, CB3 9DR, United Kingdom",1.0
United Kingdom,"University Library, West Road, Newnham, Cambridge, Cambridgeshire, Cambridgeshire and Peterborough, England, CB3 9DP, United Kingdom",1.0
United Kingdom,"University Library, University Road, Heslington, York, York and North Yorkshire, England, YO10 5NH, United Kingdom",1.0
United Kingdom,"University Library, Cathedral Court, University, Stag Hill, Guildford, Surrey, England, GU2 7JH, United Kingdom",1.0
United Kingdom,"University Library, Spine Road, University, Stag Hill, Guildford, Surrey, England, GU2 7XJ, United Kingdom",1.0
United Kingdom,"University Library, Bridge Street, Barley Mow, Lampeter, Ceredigion, Wales, SA48 7AA, United Kingdom",1.0
United Kingdom,"Main Post Office (E bound), Cross Street, Ulverston, Westmorland and Furness, England, LA12 7LF, United Kingdom",1.0
United Kingdom,"City Hall, Queen Elizabeth Street, St Olave's Estate, Bermondsey Village, The Borough, London Borough of Southwark, Greater London, England, SE1 2RZ, United Kingdom",1.0
United Kingdom,"City Hall, West Street, Cathedral, City Centre, Sheffield, South Yorkshire, England, S1 2GQ, United Kingdom",1.0
United Kingdom,"City Hall, West Street, Cathedral, City Centre, Sheffield, South Yorkshire, England, S1 4UB, United Kingdom",1.0
United Kingdom,"Jobcentre Plus, Orchard Street, New Boultham, Lincoln, Lincolnshire, Greater Lincolnshire, England, LN1 1YZ, United Kingdom",1.0
United Kingdom,"Bracken Bank Avenue Central Drive, Bracken Bank Avenue, Bracken Bank, Keighley, Damems, Bradford, West Yorkshire, England, BD22 7AD, United Kingdom",1.0
United Kingdom,"Central Drive / Bank Rd, Central Drive, Gornal Wood, Cooper's Bank, Dudley, West Midlands, England, DY3 2QD, United Kingdom",1.0
United Kingdom,"Embassy, 10B, Broughton Street Lane, Gayfield, New Town/Broughton, City of Edinburgh, Scotland, EH1 3LY, United Kingdom",1.0
